CZAS	PM10
2020-03-04	26
2020-03-05	30
2020-03-06	21
2020-03-07	14
2020-03-08	25
2020-03-09	29
2020-03-10	20
2020-03-11	12
2020-03-12	12
2020-03-13	12
2020-03-14	16
2020-03-15	27
2020-03-16	24
2020-03-17	52
2020-03-18	41
2020-03-19	51
2020-03-20	39
2020-03-21	12
2020-03-22	14
2020-03-23	17
2020-03-24	30
2020-03-25	32
2020-03-26	39
2020-03-27	61
2020-03-28	53
2020-03-29	36
2020-03-30	10
2020-03-31	17
2020-04-01	28
2020-04-02	39
2020-04-03	33
2020-04-04	37
2020-04-05	36
2020-04-06	35
2020-04-07	40
2020-04-08	32
2020-04-09	38
2020-04-10	20
2020-04-11	32
2020-04-12	23
2020-04-13	16
2020-04-14	10
2020-04-15	22
2020-04-16	28
2020-04-17	27
2020-04-18	22
2020-04-19	18
2020-04-20	16
2020-04-21	24
2020-04-22	30
2020-04-23	38
2020-04-24	39
2020-04-25	19
2020-04-26	14
2020-04-27	21
2020-04-28	25
2020-04-29	42
2020-04-30	19
2020-05-01	12
2020-05-02	9
2020-05-03	18
2020-05-04	14
2020-05-05	8
2020-05-06	12
2020-05-07	24
2020-05-08	29
2020-05-09	17
2020-05-10	25
2020-05-11	11
2020-05-12	14
2020-05-13	0
2020-05-14	20
2020-05-15	16
2020-05-16	15
2020-05-17	17
2020-05-18	16
2020-05-19	19
2020-05-20	14
2020-05-21	15
2020-05-22	18
2020-05-23	15
2020-05-24	10
2020-05-25	7
2020-05-26	13
2020-05-27	17
2020-05-28	16
2020-05-29	10
2020-05-30	13
2020-05-31	15
2020-06-01	18
2020-06-02	12
2020-06-03	16
2020-06-04	18
2020-06-05	13
2020-06-06	9
2020-06-07	7
2020-06-08	12
2020-06-09	12
2020-06-10	18
2020-06-11	18
2020-06-12	20
2020-06-13	29
2020-06-14	13
2020-06-15	14
2020-06-16	13
2020-06-17	18
2020-06-18	17
2020-06-19	13
2020-06-20	7
2020-06-21	7
2020-06-22	17
2020-06-23	13
2020-06-24	13
2020-06-25	16
2020-06-26	17
2020-06-27	18
2020-06-28	15
2020-06-29	13
2020-06-30	17
2020-07-01	14
2020-07-02	12
2020-07-03	15
2020-07-04	16
2020-07-05	13
2020-07-06	16
2020-07-07	16
2020-07-08	14
2020-07-09	13
2020-07-10	19
2020-07-11	9
2020-07-12	10
2020-07-13	11
2020-07-14	14
2020-07-15	17
2020-07-16	9
2020-07-17	11
2020-07-18	17
2020-07-19	17
2020-07-20	17
2020-07-21	16
2020-07-22	14
2020-07-23	18
2020-07-24	24
2020-07-25	19
2020-07-26	19
2020-07-27	12
2020-07-28	22
2020-07-29	19
2020-07-30	22
2020-07-31	21
2020-08-01	17
2020-08-02	20
2020-08-03	11
2020-08-04	10
2020-08-05	15
2020-08-06	17
2020-08-07	34
2020-08-08	36
2020-08-09	29
2020-08-10	25
2020-08-11	22
2020-08-12	22
2020-08-13	29
2020-08-14	27
2020-08-15	23
2020-08-16	19
2020-08-17	21
2020-08-18	21
2020-08-19	18
2020-08-20	16
2020-08-21	19
2020-08-22	15
2020-08-23	13
2020-08-24	12
2020-08-25	14
2020-08-26	18
2020-08-27	15
2020-08-28	17
2020-08-29	10
2020-08-30	10
2020-08-31	10
2020-09-01	11
2020-09-02	11
2020-09-03	16
2020-09-04	21
2020-09-05	15
2020-09-06	14
2020-09-07	17
2020-09-08	20
2020-09-09	23
2020-09-10	16
2020-09-11	21
2020-09-12	19
2020-09-13	23
2020-09-14	31
2020-09-15	30
2020-09-16	34
2020-09-17	18
2020-09-18	20
2020-09-19	26
2020-09-20	24
2020-09-21	34
2020-09-22	40
2020-09-23	34
2020-09-24	26
2020-09-25	18
2020-09-26	8
2020-09-27	7
2020-09-28	18
2020-09-29	28
2020-09-30	27
2020-10-01	32
2020-10-02	20
2020-10-03	21
2020-10-04	10
2020-10-05	15
2020-10-06	12
2020-10-07	13
2020-10-08	16
2020-10-09	17
2020-10-10	18
2020-10-11	23
2020-10-12	13
2020-10-13	19
2020-10-14	10
2020-10-15	23
2020-10-16	23
2020-10-17	16
2020-10-18	12
2020-10-19	24
2020-10-20	25
2020-10-21	27
2020-10-22	32
2020-10-23	37
2020-10-24	25
2020-10-25	33
2020-10-26	22
2020-10-27	20
2020-10-28	14
2020-10-29	17
2020-10-30	13
2020-10-31	17
2020-11-01	30
2020-11-02	17
2020-11-03	32
2020-11-04	28
2020-11-05	26
2020-11-06	25
2020-11-07	43
2020-11-08	41
2020-11-09	38
2020-11-10	45
2020-11-11	32
2020-11-12	32
2020-11-13	40
2020-11-14	42
2020-11-15	23
2020-11-16	26
2020-11-17	22
2020-11-18	24
2020-11-19	16
2020-11-20	0
2020-11-21	0
2020-11-22	0
2020-11-23	0
2020-11-24	53
2020-11-25	12
2020-11-26	60
2020-11-27	37
2020-11-28	22
2020-11-29	16
2020-11-30	21
2020-12-01	0
2020-12-02	0
2020-12-03	71
2020-12-04	32
2020-12-05	20
2020-12-06	18
2020-12-07	30
2020-12-08	44
2020-12-09	35
2020-12-10	36
2020-12-11	46
2020-12-12	56
2020-12-13	77
2020-12-14	52
2020-12-15	42
2020-12-16	41
2020-12-17	39
2020-12-18	29
2020-12-19	31
2020-12-20	27
2020-12-21	36
2020-12-22	14
2020-12-23	21
2020-12-24	8
2020-12-25	5
2020-12-26	12
2020-12-27	13
2020-12-28	17
2020-12-29	16
2020-12-30	56
2020-12-31	54
2021-01-01	50
2021-01-02	61
2021-01-03	58
2021-01-04	60
2021-01-05	19
2021-01-06	25
2021-01-07	16
2021-01-08	24
2021-01-09	18
2021-01-10	18
2021-01-11	33
2021-01-12	21
2021-01-13	14
2021-01-14	16
2021-01-15	26
2021-01-16	14
2021-01-17	46
2021-01-18	102
2021-01-19	23
2021-01-20	23
2021-01-21	29
2021-01-22	24
2021-01-23	22
2021-01-24	18
2021-01-25	18
2021-01-26	32
2021-01-27	26
2021-01-28	34
2021-01-29	23
2021-01-30	29
2021-01-31	45
2021-02-01	74
2021-02-02	57
2021-02-03	19
2021-02-04	15
2021-02-05	32
2021-02-06	25
2021-02-07	33
2021-02-08	35
2021-02-09	58
2021-02-10	56
2021-02-11	38
2021-02-12	33
2021-02-13	21
2021-02-14	24
2021-02-15	56
2021-02-16	54
2021-02-17	34
2021-02-18	41
2021-02-19	46
2021-02-20	45
2021-02-21	32
2021-02-22	47
2021-02-23	99
2021-02-24	93
2021-02-25	103
2021-02-26	60
2021-02-27	16
2021-02-28	17
2021-03-01	30
2021-03-02	60
2021-03-03	74
